,model,case,mse,rmse,mae,r2
0,KNN (POC's),Price Prediction - Model Features - All Examples,25605488008.409992,160017.1491072441,82689.36169897747,0.8100146837149076
1,KNN (POC's),10-fold Cross Validation - Model Features,24189965715.447334,155531.23710511447,89675.64812586765,0.7759973263918829
2,KNN (POC's),10-fold Cross Validation - Model Features + 'property_age',33445969940.244843,182389.12902707275,94945.55550609341,0.7504859375451153
3,KNN (POC's),10-fold Cross Validation - Model Features + 'yrs_since_last_improvement',33094173878.26103,181411.7272841523,94790.43908364621,0.7530366529773344
4,KNN (POC's),10-fold Cross Validation - Model Features + 'property_age' + 'yrs_since_last_improvement',33170787239.010567,181600.28419262133,94510.34960226723,0.752730115721151
5,KNN (POC's),10-fold Cross Validation - All Features,27876721324.806183,166258.09195345367,83242.26010136807,0.7938515006290092
6,KNN (POC's),10-fold Cross Validation - High Correlation Features (k=0.1),26260058709.563835,161296.71789388586,82714.01256091823,0.8060327642097691
7,KNN (POC's),10-fold Cross Validation - High Correlation Features (K = 0.2),23372810767.458805,152165.69052117906,80792.37355737333,0.8273366199796148
8,Linear Regression,10-fold Cross Validation - High Correlation Features (k=0.2),29707706666.01778,171497.97977552353,105714.36309974443,0.7810755591791411
9,Ridge Regression,10-fold Cross Validation - High Correlation Features (k=0.2),29706520123.440685,171494.09439483538,105692.54741788672,0.7810859219549867
10,Random Forest,10-fold Cross Validation - High Correlation Features (k=0.2),16408014193.656317,127660.18519602684,71468.91322138066,0.8781823997529667
11,Gradient Boosting,10-fold Cross Validation - High Correlation Features (k=0.2),16778978709.284082,129227.48215057507,75982.06339616913,0.8750497477761489
12,XGBoost,10-fold Cross Validation - High Correlation Features (k=0.2),17018708981.108135,129647.12518392774,71880.94586820432,0.8745809561364128
13,KNN,10-fold Cross Validation - High Correlation Features (k=0.2),23372810767.458805,152165.69052117906,80792.37355737333,0.8273366199796148
14,SVR,10-fold Cross Validation - High Correlation Features (k=0.2),142270353962.4056,376255.8137609076,220920.74491536812,-0.05623564269758805
15,Decision Tree,10-fold Cross Validation - High Correlation Features (k=0.2),32115751165.65608,178594.2187129831,100335.04463235378,0.7613588394484647
16,AdaBoost,10-fold Cross Validation - High Correlation Features (k=0.2),104178421805.19443,322498.9928884914,286778.7112307795,0.21778253800369093
17,Linear Regression,10-fold Cross Validation - All Features,28184191189.743835,167005.23418603893,102372.92435676695,0.7923688599575623
18,Ridge Regression,10-fold Cross Validation - All Features,28262779915.1269,167240.34240383861,102379.6016699798,0.7917859164214591
19,Random Forest,10-fold Cross Validation - All Features,14992546578.10847,122011.93357213373,66756.4012392308,0.8887662064497419
20,Gradient Boosting,10-fold Cross Validation - All Features,15788259749.648418,125304.22081285829,72833.27159958289,0.8824705355603344
21,XGBoost,10-fold Cross Validation - All Features,14783529326.513676,120685.53872723726,65546.37808457101,0.8910066606379324
22,KNN,10-fold Cross Validation - All Features,27876721324.806183,166258.09195345367,83242.26010136807,0.7938515006290092
23,Decision Tree,10-fold Cross Validation - All Features,30153542960.72477,172697.1694428149,95697.4310630036,0.7761339798843708
24,AdaBoost,10-fold Cross Validation - All Features,102216069756.76085,319263.53958838055,286786.8523919085,0.22052056979474224
25,Linear Regression,10-fold Cross Validation - Model Features,36795391650.78143,191178.04710615642,114605.1845401623,0.7273555872954623
26,Ridge Regression,10-fold Cross Validation - Model Features,36825055540.19854,191249.10840896546,114545.08715336086,0.7271727933967341
27,Random Forest,10-fold Cross Validation - Model Features,27268603032.44826,164691.0245771967,88837.87224965097,0.7957260528165307
28,Gradient Boosting,10-fold Cross Validation - Model Features,27395073841.12441,165088.48077773125,90909.83158929246,0.7948529684609147
29,XGBoost,10-fold Cross Validation - Model Features,29647912738.548637,171757.77489065027,90143.7636269902,0.7779680161794224
30,KNN,10-fold Cross Validation - Model Features,33226673237.079376,181808.09902637516,95383.68832135224,0.751921641431012
31,Decision Tree,10-fold Cross Validation - Model Features,52437056802.47973,228380.6383180846,122097.45083884444,0.6049239460414068
32,AdaBoost,10-fold Cross Validation - Model Features,80041614402.16032,281588.998798123,223022.68667523135,0.39679290931099886
33,Linear Regression,10-fold Cross Validation - All Features - 'property_age' - 'yrs_since_last_improvement',28176589888.906372,166981.06568821025,102368.7126898197,0.7924279901556484
34,Ridge Regression,10-fold Cross Validation - All Features - 'property_age' - 'yrs_since_last_improvement',28255080422.705925,167216.03664659697,102374.56510526399,0.7918454956353584
35,Random Forest,10-fold Cross Validation - All Features - 'property_age' - 'yrs_since_last_improvement',14891231470.092438,121623.02909847761,66842.79304284963,0.8894294002574237
36,Gradient Boosting,10-fold Cross Validation - All Features - 'property_age' - 'yrs_since_last_improvement',15921040073.852499,125839.41358794206,72924.45294452002,0.8814796268011105
37,XGBoost,10-fold Cross Validation - All Features - 'property_age' - 'yrs_since_last_improvement',14635522713.23708,119942.32829251303,65456.885860532,0.8924128342938678
38,KNN,10-fold Cross Validation - All Features - 'property_age' - 'yrs_since_last_improvement',27847628002.063927,166180.6582064145,83420.6611297747,0.793972119333122
39,Decision Tree,10-fold Cross Validation - All Features - 'property_age' - 'yrs_since_last_improvement',29689785692.867653,171687.69075465467,95773.9510175228,0.7792409165546517
40,AdaBoost,10-fold Cross Validation - All Features - 'property_age' - 'yrs_since_last_improvement',98580771721.26659,313852.49955412484,280439.73063501396,0.25201024061858623
